Username;Comment;Target;Label
putra_banned;Braninya di tempt rame sm lawannya cewe ke tempat sepi mata sipit duel ayo;['None'];Hate
woles_10;Buat Rakyat NKRI Dari Sabang Sampai Marauke Mari Kita Bersatu Jangan dibiarkan Berkembang Biak Anak Cucu dan Antek PKI Komunis di NKRI ini Kita Yang Menjunjung Tinggi Nilai Nilai PANCASILA DAN UUD Kita Wajib binasakan PKI Komunis dari NKRI Mereka Itu Penghianat Mereka Itu Dalang Pembunuhan Ulama Ustad Jenderal TNI dan Kerusuhan Mari Kita Bersatu Untuk Perangi Mereka Kalian semua juga sdh tau Orang nya siapa saja mereka ada yg duduk di pemerintahan di parpol hati PKI Komunis itu Licik Mereka Itu yg menyebarkan Isu Khilafah Mereka suka putar balikkan fakta dgn pencitraan mereka tdk beragama hanya mengaku beragama biar di anggap sm rakyat NKRI mari berpikir sehat dan cerdas utk menjaga NKRI ini dri aksi tipu PKI Komunis yg sdh berjalan di NKRI ini;['None'];Hate
rhgnz_;Buat papatah baru ahhh songong tanda tak pintar terkhusus mukiwi;['None'];Hate
rezaklubis;CINA ANJING CUKONG ITU AYOK CIna bajingan pergi kelen ke Tiongkok sana;['None'];Hate
amran_genio;CINA ANJING LU;['None'];Hate
martino_bimo;CINA YAA HADEHH GEBUKIN AJA LAH BUKAN MANUSIA DIA;['None'];Hate
dodod_urband;Cebong emang merugikan Kita pasti ikut kebawa rugi Geura paraeh atuh lah cebong teh Mubadzir;['None'];Hate
aadrian_1010;Cebong gak akan faham;['None'];Hate
ien_bj_ghuchi;Cebong itu yg penting hidup senang dan perut kenyang;['None'];Hate
sadhamchocs_;Cebong mah pnas smpe mau pindah ibu kota;['None'];Hate
fera_tommy;Cebong mana cebong Sdh baca blm ini;['None'];Hate
dhe_ci_11;Cebong mana cebong yg selalu bilang isu PKI hanya hoax belaka;['None'];Hate
dian_putra3676mdpl;Cebong mna ada yg d akui;['None'];Hate
ajo6039;Cebong susah untuk di sembuhkan;['None'];Hate
arini_indah_1329;Cebong takuuuuuut;['None'];Hate
lenaria6;Cebong tolol bin togog lebihh guooblog;['None'];Hate
vinobanks;Cebong tuh sipit;['None'];Hate
widia_qholby;Cebong yang dengar mah masuk telinga kanan keluar telinga kiri;['None'];Hate
_inthan_;Ceceb sekolam manalah ribut;['None'];Hate
rizkipaull;China anjing;['None'];Hate
aizets;China kafir bunuh halal;['None'];Hate
moch.firmansyah2;China komunis berbondong masuk ke Indonesia makin ga ketauan;['None'];Hate
aullioadi78;China kontol tapi di pungut terus pemerintah edan;['None'];Hate
aciikmw;China merajalela skrg Minta di matiin tuh org;['None'];Hate
nunung5747;China semakin ngelunjak;['None'];Hate
dnmrtofficial;China tai anjing ga sadar tinggal dimana malah semena bangsat lu cina pulang sono ke tiongkok paling di sana lu lu pada cuma jadi pengemis sadar lu;['None'];Hate
otoyz789;Cibeng cina brengsek;['None'];Hate
api_tinju;Cina NGENTOT;['None'];Hate
rajapratamalubis;Cina anjeng udh menumpang di Indonesia malah meleceh pulak berani kau sama wanita sama pria berani gk kau;['None'];Hate
andiwijaya12358;Cina anjing;['None'];Hate
akuphi;Cina anjing komunis;['None'];Hate
tama_t26;Cina anjing makin ngelunjak d negeri ini taik;['None'];Hate
anginbiru_88;Cina babi bangsat kau Tendang aja ni binatang cina anjing ke tiongkok tempat asalnya;['None'];Hate
evandrizki;Cina babi cina setan bangsat benalu kau eh para elit politik para petinggi negara para petinggi polri kalian mau diam terus n memanjakan setan Cina ini bangsat;['None'];Hate
ariadihadi;Cina babi tu kayanya;['None'];Hate
irasafitri53;Cina bangsat;['None'];Hate
iksan_v.nta;Cina bangsat cina ngentot;['None'];Hate
ricky_alamsah;Cina bqngzat ye kayaknye;['None'];Hate
zazabulu07;Cina celeng;['None'];Hate
agobango;Cina codot;['None'];Hate
chie.anggrainy;Cina gila;['None'];Hate
irasafitri53;Cina kampang lu y;['None'];Hate
robymarco35;Cina kontol;['None'];Hate
kang_ny0;Cina kupret bikin ulah lgi smoga bpk TNI segera menindaklanjuti;['None'];Hate
ulertomat;Cina sampah;['None'];Hate
sr8353028;Cina semakin menjadi anjayyy;['None'];Hate
rifqifadeel;Cina tai lu orang;['None'];Hate
farrasrundengan;Cina tolol cina goblok;['None'];Hate
forever_creations05;Cina ya semakin kurang ajar;['None'];Hate
ffebra_oktariansyah;Cinaaa bangsattttt yg cinaaa kaya gituu bangsatttt;['None'];Hate
faridarafif;Cinaaaa dafuq;['None'];Hate
shiddiq.purnama79;Keadilan kita di rampas oleh PKI Laknatullah alaih;['None'];Hate
xigy_yagigiri;Cebong sekolam sulit fahami kebenaran semoga mndapat hidayah aamiin;['None'];Hate
ali_h_sangun;Dengarr th cebongg saudara seimanmu dpenjarakan krna hal yg ga jlas;['None'];Hate
bajigoy46;Di Tv gw klo tiba si Mukidi muncul langsung Auto BLURR;['None'];Hate
momy.chan_;Di pasti kan cuma cebong yg nyaksikan pelantikan tuan nya cebong boleh survey tiap rumah pendukung ga ada tu yg ntn tv;['None'];Hate
benci_kedok_agama;Dimohon kpd para kampret agar segera mengucapkan selamat kpd pak dhe dan kpd seluruh bangsa ini atas Cepaaattt;['None'];Hate
jonliville;GK nontonpun pembahasannya lebih banyak dr kampret;['None'];Hate
rizal_sikumbang15;Inalillahi shalawat buat mainan si raja kodok dan pengikutnya ooohhh negriku;['None'];Hate
agus_setyawan2389;Kampreet sakit hati ya;['None'];Hate
arbi.bra;Kwkwk ngakak gua liat nih berita serasa MK lebih kecil akalnya dari pada rakyat bahkan rakyat yg tidak sekolah tinggipun tau pilpres ini terindikasi ada kecurangan tapi MK merasa tidak ada kecurangan;['None'];Hate
annur_hafizhoh;Logika koloni kolam;['None'];Hate
aldebaranorionis;MK tdk ada gunanya Bubarin aja;['None'];Hate
bali_sdo;Makanya jangan mau dibodohin oleh pejabat dan oknum cebong cebong;['None'];Hate
faatkaseemkhan.1656;Makin gila aja MUI mana fatwanya nih harus segera disuruh taubat;['None'];Hate
benci_kedok_agama;N_Target Siapa yg nyuruh pisah Gue blg lo pindah dari sini tolol;['mrs'];Hate
dyethafitra_18;N_Target Susah bro ngomong ma bani cebong cuekin aja lewatin aja;['reza'];Hate
sadhamchocs_;N_Target beranilah cebong mn takut Tuhan;['firngadi_braling1'];Hate
anggaarantxa;N_Target bikin negara lawak sendiri sana sandi okeoce n wowo pemimpinnya rakyatnya yg govlog dr gol anda;['novalda_17'];Hate
yafiehaikal;N_Target bos jgn bawa Allah lu lu pikir Allah ridho dgn org yg melanggar aturan emang saat ini lagi di atas bos tp bkn untuk berkuasa tp membuka kejelekan kubu lu tanya tuh org dari KS yg di PHK gimana tanya listrik yg semakin mahal gimana tanya semua mau di pajakin sampe kantong kresek aja mau di cukai kere ya bos keliatan udah koreng junjungan lu bong;['kartikapraja_'];Hate
indonesian_akhwat_;N_Target coba sumpahin sini yg kamu anggap tukang party berani sini post disini atau kamu takut hey kaum bodoh;['giyono_69'];Hate
fbrnadhrs_;N_Target dan nyatanya suara prabowo di rumah sakit jiwa lumayan banyak dapat di simpulkan lah ya siapa presiden pilihan org gila;['bank_sha_dewwa'];Hate
pingkabo6;N_Target jadi orgi apa struk itu lbh mudah dikabulkan Tuhan;['ar'];Hate
anggaarantxa;N_Target jujur palak kau yg curang situ malah nuduh curang kampanye banyak hoax pula udah sono nangis dipojokan kamar junjungan lu uda kalah periode depan berharap aja wowo masi segar bugar pasti kepilih kok kl dia masi sehat untung aja maks periode kl lebih mah siap kalah lg wuakakakakak;['xigy_yagigiri'];Hate
ceperituangga33;N_Target kagak ngaruh juga lu ngebacot apapun BURUK tetaplah BURUK;['musdalifahc33'];Hate
indonesian_akhwat_;N_Target kalo boleh saran hindari debat dgn org bodoh seperti N_Target Kpd habib sj sperti itu adabnya ckckck;['reza', 'fandyaulia87'];Hate
indonesian_akhwat_;N_Target kamu nulis jawaban panjang amat nulis cerpen sy doakan mubahalah anda dgn para habib simpel kan;['fandyaulia87'];Hate
mrs._n.atika_bakri;N_Target kan lu bilang kluar dari lndoonesia qw bilang ok qw kluar dgn daerah qw jdi klu kmi minta referendum ntar junjungan lu bilang makar disuruh kluar lndonesia giliran mw pisah secara legal dgn referendum lha panik situ waras;['benci_kedok_agama'];Hate
hasna_amalia2;N_Target kaya dia pernah pernah o di bentak dan dimaki pak prabowo Kenal aja ga Sksd deh Fitnah mulu kerjaannya kaum dungu;['indonesian_akhwat_'];Hate
indonesian_akhwat_;N_Target klo nulis cerpen gaakan aku baca selamat menjalani mubahalah;['fandyaulia87'];Hate
bank_sha_dewwa;N_Target memang juragan luh orang gila saja suruh nyoblos ntar luh kebawa gila jadi pendukung nya;['anggaarantxa'];Hate
indonesian_akhwat_;N_Target mubahalah HRS d ig aku jg disunat;['ummi_arkha'];Hate
indonesian_akhwat_;N_Target mubahalah kamu dgn habib insya allah berjalan aamiin yra;['fandyaulia87'];Hate
giyono_69;N_Target mubahalah po dolanan debus;['indonesian_akhwat_'];Hate
novalda_17;N_Target ntar lagi lu yang gila karna gak sanggup dengan hasil dari pilihan yang salah;['anggaarantxa'];Hate
aba.dil_;N_Target wkwk cebong bersuara;['arya_madhavi'];Hate
anggaarantxa;N_Target wkwkwkwk yg kalah situ teriak curang simpatisan wowo sudah mulai gila buuung maap;['novalda_17'];Hate
bank_sha_dewwa;N_Target yang gila kekuasaan tuh siapa bung bukankah yang menghalalkan segala cara yg gila kekuasaan itu sehingga kecurangan di anggap bagian dari demokrasi waras dikit nape sih;['lyz_collection'];Hate
buuoodie;Ngaciro terhempas oleh badai sendiri BADAI JAENUDIN;['None'];Hate
arjunaarsyad;Oh nggak termasuk nih jalan tol program cebong comberan kasian amat dibohongi ama cebong;['None'];Hate
corla_ratujreng;Paling Kampret mau jual Fitnah Ke Jokowi Hohih;['None'];Hate
adlanjihad19;Si raja evong gk usah dsumpah krn dari kemaren ane yakin udh bnyak rakyat yg nyumpahi;['None'];Hate
mpok_rogaye;Skrng bukan ataw lg tp udh Indonesia tp klo cebong mulai dluan terpaksa kampret hajar;['None'];Hate
budi_tengger;Untungnya cebong ga ada salahnya;['None'];Hate
fajer.abdullah.94;Wadau facta dan realita janji manis ebong posisi;['None'];Hate
fpi_cilkot;cebong cebong dah dapet kartu belum;['None'];Hate
kumar_5575;Cebong silahkan komentarnya;['None'];Hate
momy.chan_;Dia kan cebong jd bebas aja mau ngapain;['None'];Hate
momy.chan_;N_Target kamu cebong ngaku pendukung aku tau gimana sifat nya cebong;['indra_dwisapoetra'];Hate
pingkabo6;Kasihan rakyat kecil yg kena Di php sm penguasa itulah rezim skrng Lagi bukan urusan sy kl raja cebong bilang;['None'];Hate
rizkyakbar6403;N_Target emang ada hakim yg masih mulia ya Mgkn mulia dimata rezim cebong kali ya;['pelautmilenial'];Hate
yafiehaikal;N_Target kebenaran harus di sampaikan walaupun pahit ah cebong mau aja di tipu trs;['siswanto3167'];Hate
apaafikkk_;N_Target Cebongg mana paham;['arya_madhavi'];Hate
afdalul_z;N_Target cebong;['ponco494'];Hate
indonesian_akhwat_;N_Target coba lbh dalem lg hina nya HRS udah mubahalah siapa tau kamu jg kena berani;['sahalmakarim'];Hate
indonesian_akhwat_;N_Target coba sumpahnya barangkali mw ditambahin Siapa tahu nanti ada mubahalah Jd ketauan siapa yg busuk;['fandyaulia87'];Hate
reza.sagaf;N_Target fahami dlu komentar saya bisa gak sih cebong dikit pinter;['kartikapraja_'];Hate
dayshi_galuh;N_Target ga butuh komen cebing;['bayustyw'];Hate
mrs._n.atika_bakri;N_Target itulah begox cebong yg ngomong kertanegara siapa ya Kmi mw referendum lu mw ngapain;['benci_kedok_agama'];Hate
fbrnadhrs_;N_Target iya prabowo gila kekuasaan buktinya dia gagal teruss apa gk mau coba jadi wali kota atau apapun selain presiden kenapa harus jadi presiden kecurangan kalian selalu teriak curang tanpa adanya narasi pembuktian dasar sampah;['bank_sha_dewwa'];Hate
syahrialsuryandana;N_Target kita tungguin aja lu nyesel pilih jokowi menyusul para cebong lainnya disaat semua bahan pada naik dan kebijakan pro rakyat sdh hilang baru lu pade nyadar klo kita para kampret tu lebih syg sm nkri drpd sekedar teriak khilafa sprti yg lu tuduhkan sm kita bahkan kita kasian sm para cebong smg sgr sadar dan bangun dr tipuan para kacung cina itu sadar lah wahai sodaraku indonesia sdg sakit saat ini masak lu masih menutup mata sih Coba pake mata hati lu kisanak;['musdalifahc33'];Hate
kencana6736;Anies dituntut jadi manusia sempurana salah dikit habis;['None'];Hate
emilyaedward;BACOT AJA GEDE TU CEBONG;['None'];Hate
baim_wong_gendeng3674;Dasar cebong DUNGU;['None'];Hate
fitri.andhi;Gini msh d bilang gk ada kecurangan hello apa kabar MK Mahkamah Kecurangan;['None'];Hate
okieeputra;Gp ancorrrr;['None'];Hate
suvika88;Ini msh di bilang gk ada bukti ya N_Target terkutuk lah kalian;['mahkamahkonstitusi'];Hate
arya_madhavi;KAPOK HABIB BARBAR MASUK BUI WKAKAKAKA;['None'];Hate
zakysef;Kang ngibul si jae;['None'];Hate
bank_sha_dewwa;MK SINGKATAN DARI MAHKAMAH KECURANGAN;['None'];Hate
syarah83;Mahkamah kalkulator;['None'];Hate
benci_kedok_agama;N_Target Cepat ucapkan slmt dulu tolol;['khilafa_islamia'];Hate
omenshakim;N_Target Siapa yg berontak Bangsat lo;['fandyaulia87'];Hate
abdillah_sng;N_Target mahkamah Konidin;['bank_sha_dewwa'];Hate
xigy_yagigiri;N_Target puas puasin anda tertawa tunggulah azab Allah itu nyata;['anggaarantxa'];Hate
dianrissing;Nnti c ariep budiman laknatulloh lebih dr ini azabnya;['ariep budiman'];Hate
renny_jie;Semua jg tau dr awal termasuk TKN kalo pemenang pilpres adalah hanya N_Target yg abadi dlm kedunguannya;['cebong'];Hate
aresforever78;mahkamah konstipasi;['None'];Hate
t.ryan_d;makan tuh N_Target di benci rakyat lu;['Jokowi'];Hate
riszqyputrahd125;Alh jancuk jalan udah lama tolol kenapa lo kalh lagi ya gtu aja orang papua suka jokowi bukan wowo njinh;['None'];Hate
randyboysk;Baco tu oi tai kau anjing kau N_Target;['jokowi'];Hate
dewi.massitoh;Badai Barunya People Poweeeeeer hei rakyat yg TERDZOLIMIN terPHK sepihak Cebongers yg tertipu Jae Ayuuuk nguuuuumpul ambil kedaulatan rakyat nyolong dibalas nyolong nyawa dibalas nyawa n culik pa Prabowo biar gak denger bisikan pengkhianat setelah pemerintahan ditgn rakyAt keluarkan prabowo jd pemimpin insyaAllah Chaos rakyAt Indonsia ridhoin ALLAH TAKBIIIR ALLAHU AKBAR;['None'];Hate
dithakurniaputri;Berarti bener ya yg dicobloosin masal itu ya berarti MK TAIIIIII;['None'];Hate
anto_nif0710;Biarkan saja mereka orang x DUNGU orang x dari kaum yg terpapar paham kecebong kodok yg berbau komunis mereka memilih presiden dari hasil curang tidak jujur tidak adil saat yaitu presiden boneka tukang bohongi rakyat suka bikin pencitraan palsu yang berkiblat menyembah berhutang uang kepada negara cina komunis;['None'];Hate
jayahanan;Buat di sumpain al qurran kan udah jelles pak jokowi maling suara rakyat curang kali cuman nunngu azab dri allah pak jokowi;['None'];Hate
m.mhr19;Dsr mukidi smuanya dijadiin cebongers bngst tp Ane sklrga ttp mendukung dn mendoakn bpk Prabowo smp kpn pun;['None'];Hate
mulyatiranny;Gk tau malu ya kok tegeul jokowi bgtu nistanya bukan HAKnya jd presiden masih mau dilantik tdk tau diri ya pdhl penggefe di indonesia ini gk pantes blass;['None'];Hate
firaunnya_cebong;Gw yakin si gembul N_Target ini bagian elgebete terselubung;['gusyaqut'];Hate
nicoagan;Hidup mahkamah kecebong jujur kacang ijo;['None'];Hate
ali_asadullah12;Hp Ansor Banser banci serem bubarkan;['None'];Hate
fandyaulia87;Ingin mati membusuk dipenjara ya nikmatin aja hidup loe bahar ga usah bnyak protess;['None'];Hate
firdsoul;Menang karna curang tapi rakyat tidak mengakui di jokodok presiden karna hasil dr kecurangan Kan goblok menang aja masih ribet cari sensasi legitimasi dr rakyat gue mah ogah;['None'];Hate
indonesian_akhwat_;N_Target Begitulah cara berfikir kaum bodoh;['hasna_amalia2'];Hate
mrs._n.atika_bakri;N_Target Dgn bangga qw bilangin lu cebong jelek tuwir qw bangga jdi pendukung PRABOWO SANDI yg smart jujur ganteng jelas asal usulx lndonesia yg cinta negarax qw diluar sono ditanyain presiden lndonesia siapa qw bilang Bpk PRABOWO SUBIANTO dy lah presiden sesungguhx dihati kami yg lain gak mau qw akuin mau apa lu;['benci_kedok_agama'];Hate
atepzatepz;N_Target akun bodong bancii bacot doang gede;['sahalmakarim'];Hate
fachrulbikers662;N_Target bangsattt kelar hidup lu laknat;['fandyaulia87'];Hate
indonesian_akhwat_;N_Target hey kaum bodoh coba pengen denger siapa yg jalan jalan keluar sekalian sumpahin dan hina se hina hina nya karena dia sdh mubahalah berani Atau bakal diem doang krn sbnrnya kamu takut;['healthy'];Hate
omenshakim;N_Target lo yg gw bikin busuk loh Loh gerombolan lgbt yaa;['fandyaulia87'];Hate
ini5312;N_Target mati aja mati lu bangsat Karena jokowi juga gak butuh lu;['dr_fatahillah'];Hate
fandyaulia87;N_Target mknya klo hidup itu jgn jdi orang dunguuu cocok mmnk sama si bahar mulutmu;['omenshakim'];Hate
setyadi_budi18;N_Target mksudny tolol itu fakta omongan dan realita tdk sjalan pmerintah hrua kasih solusi bukanny kbohongan dsar cebong tolol;['siswanto3167'];Hate
mrs._n.atika_bakri;N_Target najissss;['benci_kedok_agama'];Hate
indonesian_akhwat_;N_Target saran aja sih jika nanti tdk mati mengenaskan atau hidupmu sulit tinggal dtg minta maaf Krn daging ulama apalagi habib beracun;['fandyaulia87'];Hate
fandyaulia87;N_Target saya nulis panjang biar ga tambah dungu ente msh bnyak Habaib yg berilmu dan lisannya bagus utk diambil ilmunya bukan Habaib abal yg ngaku ahlul bait tpi Ahlaq sangat jauh dri islam;['indonesian_akhwat_'];Hate
indonesian_akhwat_;N_Target sekaum dgn kaum menistakan islam pemenjara habib dan ulama menjijikan;['nvmn02_211_'];Hate
fandyaulia87;N_Target tuh suruh bahar dulu yg minta maaf ke pak presiden atas tindakannya yg tdk terpuji junjunganmu aja mengajarkan kebodohan aplgi pengikutnya yg sok tau urusan akhirat dan hidup mati seseorang;['indonesian_akhwat_'];Hate
dwisetyo2nd;Semoga Allah tetap bersamamu bib Membusukmu di penjara akan membuat sejarah wangimu selalu tercium sampai anak cucu bangsa Indonesia Aamiin ya rabb;['None'];Hate
ahmad_sense;Semoga N_Target menyusul kpu laknat;['arief budiman'];Hate
uhan.suhandi;hahahaha N_Target suruh liat tuh itu jelas bukti kecurangan nya N_Target muka kardus Maniak Kekuasaan Mafia Konstitusi Mafia Kodok bangkong;['MK'];Hate
voldano_izac;pendukung N_Target makin stress tak terkendali gaeess;['kampret'];Hate
khilafah_islamia;periode menang dengan kecurangan mantaaappp Lanjutkan pak jae nikmatilah kemenangan kalian saat ini dan berbahagia atas usaha busuk kalian Kalian hanya sebentar menikmatinya karena Azab Allah SWT akan segera turun menimpa kalian pak N_Target sekeluarga serta para pengikutnya Qun fayaquun;['jaenudin'];Hate
santyprisianti;udah lama gak liat tv sejak si jokodok presiden eneggg liat mukanya pasang tv yg di tonton sinetron doang;['None'];Hate
bangjos15;Alhamdulillaah ane ga punya tv jadi bener bener ga liat si kacung kodok dilantik mengundang azab Alloh;['None'];Hate
benci_kedok_agama;N_Target Dimohon kpd para kampret agar segera mengucapkan selamat kpd pak dhe dan kpd seluruh bangsa ini atas Cepaaattt;['nunuk_wahyuni'];Hate
musdalifahc33;ngak ngaruh juga klu kampret ngak nonton pelantikan presiden yg dicintai rakyat lajutkan pak N_Target periode semangat bapak;['jokowi'];Hate
helenaputri5;Mana cebong yg Teriak NKRI harga mati;['None'];Hate
wahyu_ashari89;Mantab bahasa inggris nya sama kayak Si Jae;['None'];Hate
mochanoy;Mantab jelas kan bong;['None'];Hate
okzakki02;Mantab keren tu untuk suport pak jokowi biar mundur;['None'];Hate
juanda_bril;Mantap kta nya menang telak d papua kog sampai segini nya nolak kelakuan antek nya jae;['None'];Hate
claudiafadillah7407;Mantul bgt ga pake teks ga kayak si jae;['None'];Hate
hasmi_wo;Manusia kebnggaan cebong;['None'];Hate
agamkesaputra;Mari kita doakan gusmiftah segera dijemput izrail Amin;['None'];Hate
fityalifia;Masalahnya jokodok kan hobinya nabrak aturan UU Itu nnti bisa bisa UUnya direvisi sm dia mengingat dia kan gk mau cuti dan UU cuti jg udah direvisi sm dia;['None'];Hate
andhy_nut;Masih di Jawa aja si Jae nggak dianggap rakyatnya gimana kalau ke Sumatera pasti lebih nggak dianggap oleh masyarakat Sumatera;['None'];Hate
aurellarmand;Mata sipit Belagu;['None'];Hate
dirgasyahputra24;Mata sipit mah gitu suka bicara dengan kata A JING dengan gubernur dulu;['None'];Hate
baiqina;Mata sipit yg songong;['None'];Hate
fatmah_salim2;Mbah kiayi sudah tenang senang mardeka di sisi allah swt rasulullah di hantar ummat rasulullah pergi nya di doain zuriad rasulullah yg terpampang nyata IB HRS bahagia nya mbah moen hanya wali yg bisa merasa kan sesama wali kalo mahluk ber busuk pasti susah nerima lihat saja nanti mati tuh para togog mudahan gak kecium bau bamgke nya min;['None'];Hate
andris2918;Media corong komunis bani togog;['None'];Hate
firdsoul;Menang karna curang tapi rakyat tidak mengakui di jokodok presiden karna hasil dr kecurangan Kan goblok menang aja masih ribet cari sensasi legitimasi dr rakyat gue mah ogah;['None'];Hate
ronis1001;Menteri agama semoga segera dicabut nyawanya sama Allah;['None'];Hate
kodratsw;Menurut MK itu bukan kecurangan Menurut Raja Curang Bukan urusan saya yg penting gw dimenangkan Menurut Al Qur an Yang curang pasti celaka;['None'];Hate
rahmadesi_08;Menurut saya jokowi bukanlah umar dia adalah jaenudin;['None'];Hate
eko_puji_82;Model muka kaya gini nih yg biasanya d sembah oleh cebong;['None'];Hate
rahmanhbb;Modusss Cebong PKI MAFIA PENJILATTT munafikkk Modusss Cebong PKI MAFIA PENJILATTT munafikkk;['None'];Hate
apoyhbb;Modusss Cebong PKI MAFIA penjilat munafikkk;['None'];Hate
rahmanhbb;Modusss Cebong PKI MAFIA penjilattt munafikkk;['None'];Hate
suwandri9;Move on donk Lo cebong gajah depan mata Lo kaga liat giliran curut sebrang laut kliatan pSI tenggelamkan;['None'];Hate
er.nawati237;Mudah an seluruh wilayah ky gini biar dia malu si Joko mah suruh jd presiden Bali aja tuh sono dasar presiden curang;['None'];Hate
fachruelriza87;Muka aja udah muka sipit;['None'];Hate
muh_654555;Muka babi pendukung cebong;['None'];Hate
oyay_cs_agoice;Muka nya Kaya babi itu laki kaya nye china ya Haduhh makin nginjek pribumi aja ni Rezim;['None'];Hate
rustamjroh2018;Mukidi sampah tidak tau malu;['None'];Hate
alindaeffendi_;Mulut dia sama kayak ngahhok seperti itulah kebiasaan kaum oknum cina bahasa kotor itu sudah jadi makanan sehari hari;['None'];Hate
cebihunter;N_Target BANYAKAN MAKAN DAGING ANJING LO MAKANYA OTAK LO KORSLET;['mjamallud1n'];Hate
aufgumeres;N_Target Banser banci ser ser seran tariik maaang aaahhh;['premantobat073'];Hate
rahmaddani89;N_Target Banser bubar sendiri entar ketika nggak pas bagi recehan dari si jae;['zakysef'];Hate
andreanprastono;N_Target Bong bisa di jelaskan klo ky gini loe msh mikirin pemindahan ibukota aje Bong;['indonesiabertauhiid'];Hate
andreanprastono;N_Target Bong klo dah bgini gmn coba mikir bong;['indonesiabertauhiid'];Hate
andreanprastono;N_Target Bong tmn loe nie bantuin ngitung tuh;['indonesiabertauhiid'];Hate
ahmadtaofiktaofik;N_Target GOLONGAN KAUM MUNAFIKUN;['nasutionfandi'];Hate
reyhan_fbr;N_Target Gua jaga agama gua islam selagi masih dikasih nafas sama Allah gk kayak cebong dunia ni gk lama lagi cuy;['p'];Hate
pedrinansatriani;N_Target INDONESIA RAYA MERDEKA MERDEKA TANAH KU NEGERIKU JADI CHINA;['dickyrawung'];Hate
omojak;N_Target Ibu mu tobat cux;['wawanloblobly'];Hate
r3z1m_r1weuh17;N_Target Itulah pleciden;['hadisofwan89'];Hate
emangchincai;N_Target Kekayaan prabowo sekitar triliun gaji pensiunannya dia tidk pernah ambik dan di tksir ratusan miliar dan hutgnya miliar dia udh lunasin lo yg nambah sae lu jae togog;['alia_galb'];Hate
